Generation, Population, AVG_speed, AVG_size, AVG_sense 
203,48,1.5,9.7,114.9
204,46,1.4,9.3,113.3
205,48,1.4,9.4,118.1
206,44,1.6,9.4,117.4
207,44,1.5,9.7,104.4
208,41,1.5,8.8,108
209,48,1.4,9.8,106.9
210,46,1.5,9.7,114.3
211,36,1.5,8.5,106
212,43,1.4,9,111.5
213,50,1.5,9.7,110
214,45,1.5,9.1,107.6
215,38,1.6,9.4,107.8
216,41,1.4,9.6,114.8
217,47,1.4,9.7,113.9
218,45,1.5,9.2,118.2
219,49,1.5,9.8,112.3
220,50,1.4,9.4,114.6
221,48,1.5,9.3,113.1
222,44,1.5,9.4,110.3
223,46,1.6,9,106.1
224,42,1.6,9,113.2
225,41,1.4,8.5,112.3
226,43,1.7,9.1,112
227,43,1.5,9.6,107.6
228,34,1.4,10.5,114.7
229,37,1.4,9.4,112.7
230,46,1.5,9.6,108.1
231,36,1.6,9,106.5
232,46,1.6,9.8,115.5
233,49,1.6,10.2,114.2
234,45,1.4,10,112.1
235,47,1.5,9.2,106.8
236,40,1.7,9.6,108.9
237,49,1.4,10.2,108.7
238,41,1.5,9.3,109.3
239,46,1.5,9.6,114.7
240,49,1.4,9.3,116.1
241,43,1.4,9.3,114.3
242,39,1.5,10.2,114.4
243,41,1.4,9.4,111
244,40,1.6,9.9,119.1
245,42,1.5,9.3,109.8
246,49,1.5,10.1,112.1
247,42,1.5,9.5,118.5
248,49,1.6,9.8,107.7
249,44,1.6,9.9,118
250,41,1.5,9.6,112.7
251,51,1.5,9.2,114.5
252,49,1.5,9.4,115.4
253,44,1.5,10,108.7
254,40,1.5,9.5,114.6
255,42,1.5,9.1,114.3
256,43,1.5,10.3,112.1
257,45,1.4,9.9,109.9
258,47,1.6,9.7,110.2
259,39,1.4,9.6,109.5
260,45,1.6,9.6,121.7
261,48,1.5,9.6,109.4
262,45,1.5,9.1,114.8
263,50,1.3,9,104.9
264,47,1.5,9.1,109.8
265,49,1.4,9.7,118.4
266,44,1.6,9.7,118
267,48,1.5,9,113.9
268,49,1.6,9.4,115.6
269,52,1.5,9.1,114.5
270,49,1.6,9.5,112.6
271,46,1.6,9.5,114.6
272,40,1.6,9.4,112.2
273,50,1.3,8.7,113
274,47,1.6,9.3,113.2
275,47,1.5,9.5,114.5
276,42,1.5,9.5,110.4
277,49,1.5,10,115.8
278,43,1.5,9.3,111.1
279,49,1.5,9.4,109
280,47,1.5,10,109.8
281,46,1.6,9.3,108.8
282,45,1.5,9.4,113.5
283,45,1.6,9.9,110.4
284,49,1.5,9.4,113.6
285,48,1.5,9.6,110.7
286,39,1.6,9.1,118.5
287,47,1.4,10.3,107.6
288,46,1.4,9.5,110
289,48,1.4,10.2,112.6
290,34,1.4,9.3,111.9
291,41,1.5,9.6,114.2
292,48,1.6,8.9,112.7
293,47,1.5,10.1,110.2
294,45,1.5,10.6,113.7
295,42,1.5,9.4,105.6
296,42,1.6,10.2,114.7
297,43,1.4,10,111.3
298,45,1.5,9.5,118.6
299,42,1.7,9.2,109.7
300,39,1.4,9.6,111.1
301,47,1.5,9.7,110
302,46,1.5,9.4,115.9
303,49,1.6,9,108.6
304,42,1.6,9.4,105.3
305,46,1.5,9.8,115
306,44,1.5,10.1,111.4
307,48,1.6,9.1,114.7
308,51,1.5,9.8,111.6
309,48,1.6,9.9,113.9
310,45,1.6,10,113.8
311,48,1.5,9.9,111.2
312,40,1.6,10,114.5
313,36,1.3,9.2,109
314,48,1.6,9.1,112.4
315,48,1.4,8.8,112.3
316,47,1.5,9.4,112.6
317,48,1.6,9.4,108.7
318,49,1.4,9.5,109.3
319,42,1.5,9.6,115.8
320,52,1.5,9.2,109.9
321,48,1.5,9.7,108.6
322,47,1.4,9.8,110.3
323,50,1.6,9.7,112.4
324,44,1.5,9.5,110.1
325,49,1.5,10.3,109
326,50,1.5,9.7,112.7
327,39,1.5,10.1,109.6
328,47,1.5,9.3,117.5
