Generation, Population, AVG_speed, AVG_size, AVG_sense 
888,47,1.4,9.1,113.9
889,49,1.4,9.4,106
890,34,1.4,10.4,111.9
891,42,1.4,9.5,110.2
892,43,1.5,9.5,116.4
893,47,1.4,9.7,108.5
894,45,1.4,8.9,103.9
895,47,1.5,8.8,110.7
896,45,1.4,9.9,111.5
897,51,1.6,9.7,112.4
898,48,1.5,10.1,113.6
899,48,1.5,9.1,111.4
900,49,1.6,9.5,109
901,46,1.4,9.6,108.1
902,37,1.4,9.1,114.4
903,46,1.5,9.7,105.2
904,48,1.5,9.4,114.1
905,47,1.6,9.5,115.9
906,49,1.6,10.3,110.6
907,40,1.6,9.8,108.6
908,48,1.4,9.4,114
909,51,1.5,9.4,115.7
910,39,1.5,9.5,114.2
911,42,1.5,9.3,110.3
912,44,1.3,9.1,106
913,42,1.5,10.2,111.9
914,52,1.6,9.1,106.2
915,48,1.6,9.1,109.7
916,44,1.5,9.3,110.4
917,52,1.5,9.7,113
918,47,1.4,9.9,109.4
919,49,1.6,9.7,113.2
920,49,1.6,9.1,110.4
921,48,1.5,9.4,117.2
922,49,1.4,9.5,113.6
923,46,1.5,9.8,104.9
924,47,1.4,10.1,107.8
925,40,1.6,9.9,114.1
926,40,1.6,9.6,108
927,49,1.5,9.2,106.3
928,49,1.5,9.5,109.5
929,47,1.4,9.6,113.6
930,49,1.5,9.4,112
931,42,1.5,9.4,116.9
932,41,1.5,9.8,113.1
933,51,1.5,9.6,108
934,46,1.6,9,114.3
935,47,1.5,9.4,117.9
936,42,1.5,10,116.2
937,45,1.6,9.3,114
938,52,1.6,9.6,110.7
939,46,1.4,10.2,113.8
940,50,1.5,9.9,106.2
941,46,1.5,10.2,109.7
942,38,1.5,9,105.2
943,47,1.5,10,114.1
944,50,1.4,9.4,108.5
945,52,1.5,9.7,110.9
946,47,1.4,9.8,116.4
947,47,1.4,8.8,113.1
948,45,1.4,9.8,112.1
949,42,1.5,9.1,109.7
950,50,1.5,9.2,106.6
951,47,1.6,9.4,116.8
952,49,1.4,9.9,114.4
953,47,1.3,9.7,111
954,46,1.4,9.1,109.4
955,42,1.5,9.8,111.1
956,45,1.6,9.1,114.2
957,46,1.5,9.3,109
958,45,1.5,8.8,107.7
959,50,1.5,9.3,112.2
960,47,1.5,9.5,115.2
961,48,1.4,9.2,113.5
962,49,1.5,9.3,111.5
963,49,1.5,9.4,103
964,46,1.5,9.5,116.7
965,43,1.5,9.5,114
966,44,1.5,9.7,109.2
967,47,1.4,9.9,112.9
968,47,1.5,9.7,110.8
969,45,1.6,9.3,109.4
970,45,1.6,9.4,110.8
971,38,1.6,9.7,110.8
972,42,1.5,9.9,107.4
973,50,1.7,9.6,115.4
974,45,1.5,10.5,118.1
975,41,1.6,9.6,112.2
976,46,1.4,9.3,111.2
977,44,1.6,9.1,109.6
978,46,1.5,9.2,113.5
979,44,1.7,8.8,116.6
980,50,1.4,9,112.3
981,44,1.6,9.4,109.1
982,41,1.5,9.1,115.2
983,49,1.6,9.6,111.3
984,47,1.5,10.2,104
985,45,1.5,9.8,112.7
986,46,1.5,10.1,115.9
987,41,1.5,10.2,113.4
988,46,1.5,9.5,112.5
989,49,1.4,9.1,109
990,44,1.5,9,114.6
991,49,1.5,9.5,107
992,39,1.5,9.2,117.1
993,44,1.6,10.3,113
994,47,1.5,9.3,109.9
995,46,1.5,9.4,109.8
996,42,1.5,10.2,112.9
997,44,1.5,9.9,112.9
998,44,1.5,10,115.9
999,42,1.5,9.9,119.5
1000,47,1.4,9.1,113
1001,42,1.5,9.6,117
1002,45,1.5,9.7,106.4
1003,46,1.5,9.8,108.9
1004,49,1.7,9.3,110.2
1005,46,1.4,10.1,111.8
1006,44,1.6,10.2,117.7
1007,46,1.5,9,110.4
1008,46,1.4,9.8,110.6
1009,46,1.6,9.3,110.2
1010,49,1.6,9.9,114.4
1011,43,1.5,9.9,113.4
1012,38,1.5,8.7,123.3
1013,46,1.7,9.5,110.7
1014,43,1.5,10.2,105.3
1015,46,1.5,10,112.8
1016,45,1.5,10.7,113.4
1017,46,1.4,9.6,112.3
1018,46,1.5,9.2,110.6
1019,49,1.4,9.8,109.9
1020,50,1.5,9.2,113
1021,48,1.5,9.5,108.3
1022,47,1.6,9.3,115.9
1023,50,1.5,9.6,109.7
1024,46,1.6,8.7,110.5
1025,46,1.6,8.7,112.8
1026,45,1.5,9.5,117.8
1027,43,1.6,9.6,109.9
1028,41,1.4,8.6,108.6
1029,52,1.5,9.8,116
1030,48,1.6,10,109.6
1031,50,1.6,9.7,108.6
1032,45,1.5,9.5,114.5
1033,39,1.3,9.5,106.5
1034,46,1.5,9.8,112.7
1035,38,1.5,8,107.3
1036,48,1.6,9.3,110.4
1037,46,1.5,8.9,112
1038,46,1.5,10,117
1039,46,1.4,9.1,113.4
1040,48,1.6,9.2,112
1041,47,1.4,8.9,113.2
1042,44,1.5,9.4,111.6
1043,46,1.7,9.4,113.3
1044,52,1.5,10.1,109.6
1045,43,1.5,10,110.1
1046,39,1.6,9.5,109.5
1047,47,1.4,10.2,114.7
1048,44,1.6,10.4,104.2
1049,41,1.5,9.5,116
1050,44,1.6,10.3,116.3
1051,45,1.4,9.2,120.2
1052,47,1.6,9.5,111.1
1053,47,1.7,9.6,109.5
1054,44,1.6,9.1,110.3
1055,48,1.6,8.5,113.5
1056,40,1.5,10.2,113
1057,49,1.5,10.4,116
1058,48,1.4,9.7,108.5
1059,52,1.5,9,110.2
1060,51,1.6,9.6,113.2
1061,46,1.6,9.2,109.5
1062,43,1.5,9.7,111.3
1063,46,1.5,9.5,111.7
1064,48,1.5,9.2,116
1065,46,1.5,9.3,111.8
1066,45,1.6,9.5,112.7
1067,47,1.5,9.7,111.6
1068,44,1.5,9.4,112.8
1069,45,1.5,10.2,109.1
1070,46,1.5,9.6,110.1
1071,49,1.5,8.9,115.6
1072,48,1.4,9.8,115.6
1073,44,1.5,9.4,112.3
1074,42,1.5,9.3,112.8
1075,47,1.4,9.1,114
1076,48,1.5,9.5,110.1
1077,40,1.4,10.7,109.8
1078,41,1.5,9.7,114.6
1079,40,1.5,9.4,109.8
1080,48,1.5,9.5,114.4
1081,38,1.6,9.6,106.7
1082,39,1.6,9,117.9
1083,42,1.4,10.3,109.9
1084,41,1.5,9.6,115.5
1085,47,1.6,9.9,112.1
1086,47,1.4,8.6,108.3
1087,46,1.7,9.4,112.9
1088,51,1.4,9.2,112.6
1089,46,1.5,9.5,107.3
1090,36,1.4,9.6,107.5
1091,45,1.4,10.8,109.4
1092,45,1.6,9.3,106.9
1093,50,1.7,9.2,108.3
1094,39,1.4,9.3,105.8
1095,50,1.5,8.9,109.3
1096,51,1.6,10,109.6
1097,52,1.4,9.7,111.4
1098,46,1.5,8.9,115.1
1099,49,1.5,9.1,107.7
1100,42,1.6,10.2,106
1101,47,1.4,9.9,111.5
1102,48,1.5,9.7,113.2
1103,47,1.5,9.7,107.1
1104,38,1.6,9.2,116.6
1105,42,1.5,9.2,115.6
1106,43,1.6,9.8,115.6
1107,48,1.4,9.8,114.5
1108,46,1.5,10.3,105.5
1109,36,1.6,9.8,111.8
1110,42,1.6,8.6,113.8
1111,45,1.5,9.1,109.8
1112,44,1.5,9.5,115.8
1113,49,1.5,9,111.7
1114,48,1.4,9.6,115.5
1115,50,1.6,10,104.6
1116,41,1.4,9.3,108.3
1117,47,1.3,9.7,114.7
1118,37,1.6,9.2,116.8
1119,40,1.4,10.1,110.6
1120,32,1.6,9.5,115
1121,45,1.6,9.4,117.4
1122,47,1.5,9.6,114.8
1123,35,1.5,9.7,112.7
1124,47,1.5,10.1,112
1125,47,1.5,9.4,111.1
1126,49,1.5,9.1,112.4
1127,45,1.5,10,111.2
1128,42,1.5,9.5,115.2
1129,44,1.5,10,111.3
1130,48,1.5,8.9,115
1131,51,1.5,9.8,112.4
1132,44,1.6,10,110.1
1133,52,1.5,9.3,113.2
1134,45,1.5,9.6,112.3
1135,43,1.5,9,108.5
1136,48,1.5,9.5,110.5
1137,49,1.5,9.1,108.4
1138,46,1.5,10,112
1139,41,1.4,9.6,114.5
1140,49,1.4,9.5,115.5
1141,49,1.4,10,108
1142,42,1.6,8.6,111.6
1143,47,1.5,9.6,115.6
1144,50,1.5,9.3,118
1145,44,1.5,9.6,107.7
1146,47,1.5,9.2,111.8
1147,49,1.6,10.1,115.6
1148,43,1.3,8.9,110.5
1149,47,1.6,9.7,114.8
1150,47,1.5,8.6,112.8
1151,45,1.6,9.1,109
1152,50,1.5,9.2,113.6
1153,49,1.5,9.1,108.9
1154,45,1.5,9.3,111.2
1155,45,1.5,9.7,115.2
1156,44,1.5,9.8,113.8
1157,49,1.6,9.2,117.4
1158,46,1.5,9.9,113.6
1159,45,1.5,9.6,112.8
1160,43,1.4,9.3,122.9
1161,49,1.5,9.6,106.8
1162,50,1.5,9.9,111.5
1163,47,1.3,9.4,111.3
1164,44,1.6,9.5,116.5
1165,45,1.5,9.1,109.2
1166,42,1.5,10.1,111.9
1167,45,1.5,9.1,113.6
1168,45,1.5,9.8,117.4
1169,39,1.4,9,108.6
1170,43,1.5,9.2,105.3
1171,45,1.5,10.1,114.5
1172,49,1.4,10.2,110.5
1173,36,1.2,9.2,113.3
1174,44,1.5,9.1,113
1175,43,1.5,9.5,112.1
1176,48,1.6,9.1,113.5
1177,46,1.4,9.3,112.4
1178,47,1.4,9.9,116.1
1179,42,1.5,9.5,109.2
1180,48,1.6,9.9,113
1181,44,1.5,10,109.4
1182,51,1.4,9.5,108.2
1183,50,1.5,9.3,112.9
1184,47,1.4,9.7,112.1
1185,45,1.5,9.7,112.7
1186,49,1.6,8.8,113.1
1187,46,1.5,9.2,112.3
1188,52,1.5,9.3,113.3
1189,49,1.6,9.4,105.5
1190,40,1.4,9.4,109.6
1191,42,1.5,9,114.4
1192,51,1.5,9.3,111.8
1193,44,1.5,10,108.3
1194,46,1.5,9.2,107.8
1195,43,1.5,9.5,116.3
1196,50,1.5,9.5,110.5
1197,45,1.6,10.3,108.5
1198,45,1.4,9.5,109.4
1199,48,1.5,9.5,108.3
1200,45,1.5,9,109
1201,44,1.5,9.5,114.3
1202,42,1.5,9.5,110.2
1203,50,1.6,8.4,111.1
1204,41,1.4,8.8,109.7
1205,46,1.6,9.1,113.4
1206,43,1.3,8.5,108.2
1207,50,1.5,9.5,116.5
1208,42,1.6,9.8,114.2
1209,45,1.6,9,113.5
1210,47,1.4,9.2,108.4
1211,49,1.5,9.2,113.3
1212,47,1.5,9.5,111.9
1213,46,1.5,9.8,118.9
1214,50,1.4,9.4,110.1
1215,48,1.5,9.8,113.5
1216,47,1.5,9.4,107.7
1217,43,1.6,9.6,109.8
1218,50,1.5,9.7,115.2
1219,45,1.4,8.8,112.2
1220,44,1.5,9.6,109
1221,44,1.6,10.3,112.1
1222,44,1.6,10,111.5
1223,47,1.6,9.8,109.9
1224,35,1.5,9.1,113.7
1225,45,1.6,9.3,115.5
1226,52,1.5,9.1,108.1
1227,48,1.5,10.1,111.3
1228,48,1.5,9.6,111.1
1229,44,1.4,9.3,117.4
1230,45,1.6,10.1,109.3
1231,44,1.5,9.3,110.6
1232,46,1.5,9.1,114.9
1233,45,1.6,9.4,114.2
1234,48,1.5,9.4,110.6
1235,42,1.6,9.6,118.1
1236,48,1.4,9.6,115.3
1237,46,1.5,9.6,109.8
1238,48,1.6,9,104.3
1239,46,1.4,9.4,107.6
1240,42,1.5,9.3,115.4
1241,45,1.5,9.4,109.1
1242,49,1.5,9.5,110.6
1243,49,1.5,9,113.8
1244,50,1.4,9.3,114.7
1245,44,1.6,9.5,112.8
1246,51,1.5,9,109.6
1247,50,1.6,8.8,115.2
1248,51,1.5,8.9,116.2
1249,48,1.5,9.3,111.4
1250,49,1.4,9.5,105.4
1251,47,1.5,9.4,118.9
1252,46,1.5,9.5,109.8
1253,48,1.6,9.4,112.9
1254,45,1.5,9.5,107.7
1255,42,1.5,9.6,109.7
1256,43,1.4,9.5,115.6
1257,43,1.5,9.5,108.3
1258,49,1.5,10.2,106.5
1259,41,1.5,10,109.5
1260,41,1.4,9.5,119
1261,47,1.4,9.5,115
1262,43,1.4,9.4,111.1
1263,43,1.5,9.8,111.9
1264,40,1.4,9.6,115.3
1265,51,1.6,9.2,113.1
1266,48,1.5,9.1,112
1267,40,1.6,9.7,110.8
1268,44,1.5,9.4,111.2
1269,46,1.6,9.5,110.9
1270,41,1.4,9.3,107.9
1271,41,1.6,9.8,108.5
1272,49,1.5,9.1,111.6
1273,44,1.6,10.1,112.8
1274,40,1.6,9.6,111.3
1275,43,1.5,9.6,109.9
1276,42,1.5,9.5,117.7
1277,47,1.5,9,112.1
1278,47,1.5,9.9,109.9
1279,43,1.6,9.6,111.2
1280,49,1.5,9.2,108.2
1281,50,1.4,9.2,114.1
1282,48,1.5,9.5,113.5
1283,52,1.6,9.9,112.8
1284,49,1.4,9.3,108.9
1285,49,1.5,9.4,113.9
1286,46,1.6,10,114.4
1287,48,1.4,9.2,119.6
1288,46,1.5,8.6,109
1289,44,1.5,9.3,112.3
1290,41,1.6,9.3,110.4
1291,48,1.6,9.4,111.2
1292,44,1.5,8.7,111.9
1293,48,1.6,9.2,117.6
1294,48,1.5,10.1,106
1295,46,1.4,10.1,112.9
1296,44,1.6,10,116.6
1297,41,1.5,8.8,117.6
1298,46,1.5,10,116.5
1299,40,1.5,9.9,112.7
1300,43,1.5,9.4,112.3
1301,44,1.5,9.9,113.1
1302,46,1.5,9.2,109.4
1303,43,1.3,9.1,112.9
1304,47,1.5,10,112.3
1305,49,1.5,10.4,111.4
1306,44,1.4,8.9,108.3
1307,39,1.5,8.8,110.7
1308,51,1.5,9.8,112.4
1309,52,1.5,9.8,108.8
1310,50,1.5,9.5,111.6
1311,51,1.5,9.8,112.3
1312,43,1.5,9.6,108.9
1313,49,1.5,9.4,112.2
1314,49,1.5,8.7,110.4
1315,47,1.5,9.3,116.6
1316,45,1.5,9.9,113.2
1317,47,1.6,9.4,114.6
1318,46,1.5,9.5,111.1
1319,41,1.5,10,111.1
1320,45,1.6,9.3,112.2
1321,42,1.4,9.1,110
1322,52,1.5,9.8,109.8
1323,45,1.5,9.9,108.8
1324,42,1.6,9.4,111.7
1325,49,1.5,10,110.2
1326,40,1.4,10.3,113.2
1327,46,1.6,9.2,107.9
1328,44,1.4,9.6,114.7
1329,43,1.6,9.3,107
1330,48,1.5,9.7,111.4
1331,46,1.5,10,113.1
1332,43,1.5,9.4,111.4
1333,45,1.5,9.7,107.8
1334,50,1.6,10,111.3
1335,41,1.5,9.3,112.4
1336,46,1.6,9.7,108.3
1337,48,1.5,9.1,109.5
1338,48,1.4,8.8,113.7
1339,51,1.4,9.8,108.9
1340,47,1.5,9.2,112.2
1341,46,1.5,8.9,113.7
1342,45,1.5,8.8,110
1343,45,1.4,9.4,110.6
1344,38,1.6,8.8,115.8
1345,49,1.4,9.3,109.8
1346,47,1.3,9.6,117.8
1347,43,1.5,9.7,113.9
1348,43,1.5,9.7,111.4
1349,47,1.5,9.7,111.2
1350,48,1.5,9.4,108.8
1351,45,1.4,9.8,112.7
1352,43,1.6,9.6,109.7
1353,45,1.6,8.8,112.8
1354,48,1.5,9,111.6
1355,36,1.4,10.9,115.7
1356,43,1.4,9.9,116.7
1357,45,1.5,9.3,111.8
1358,44,1.5,9.4,112.8
1359,49,1.5,9,111.7
1360,47,1.4,8.8,114.1
1361,49,1.6,10.3,109.1
1362,43,1.5,9.8,113.8
1363,48,1.6,9.6,108.1
1364,42,1.4,9.9,113.7
1365,49,1.5,9.5,113.4
1366,49,1.6,10,106.1
1367,49,1.5,9.1,118.3
1368,49,1.5,8.9,112.5
1369,47,1.4,9.6,110.6
1370,41,1.5,9.6,110.8
1371,45,1.5,9.9,112.8
1372,51,1.7,9.8,111.1
1373,37,1.5,9.2,116.1
1374,43,1.4,9.9,112.3
1375,51,1.6,9.6,117.8
1376,45,1.4,9,115.5
1377,42,1.5,9.7,111.7
1378,48,1.5,9.2,112.6
1379,49,1.5,9.9,111
1380,43,1.5,10,109.5
1381,51,1.5,9.7,113.5
1382,45,1.5,9.5,114.3
1383,44,1.5,10,115.6
1384,48,1.4,10.1,113.7
1385,46,1.5,9.2,114.5
1386,48,1.5,9.8,107.2
1387,48,1.5,9.2,108.2
1388,40,1.6,10,114.7
1389,42,1.5,9.6,121.1
1390,49,1.5,9.3,112.1
1391,46,1.5,9.6,115.7
1392,44,1.4,9.6,113.1
1393,46,1.6,9.6,107.5
1394,44,1.4,9.5,113.1
1395,46,1.5,9.3,116.2
1396,50,1.4,9.3,110.1
1397,48,1.4,10.3,112.7
1398,49,1.4,9.6,116
1399,38,1.5,9.1,114.1
1400,50,1.5,10.2,108.5
1401,44,1.5,9.5,114
1402,48,1.5,8.9,113.5
1403,50,1.5,8.9,112.2
1404,47,1.6,9.9,109.2
1405,48,1.5,9.6,108.8
1406,44,1.5,9.7,113.9
1407,49,1.4,9.8,111
1408,48,1.5,9.3,110.7
1409,50,1.5,10.3,113.6
1410,39,1.5,9.9,118.1
1411,39,1.4,9.9,114
1412,49,1.5,9.9,112
1413,51,1.5,10.4,109
1414,43,1.5,10.1,112.4
1415,46,1.4,9.5,110.9
1416,45,1.5,9.6,111.6
1417,43,1.6,9.5,109.6
1418,41,1.4,9.6,113.9
1419,41,1.4,9.6,114.4
1420,43,1.4,9.6,110
1421,46,1.6,8.7,120.2
1422,49,1.4,9.3,111.4
1423,52,1.5,8.9,112.9
1424,46,1.5,10.5,108.9
1425,34,1.5,9.7,109.4
1426,46,1.5,10,111.7
1427,51,1.5,9.9,113
1428,43,1.3,9.8,103.9
1429,40,1.4,9.7,112.3
1430,52,1.5,9.2,111.3
1431,49,1.5,9.6,113.5
1432,44,1.4,8.6,115.4
1433,51,1.6,9.5,106.2
1434,38,1.6,9.1,111.3
1435,47,1.4,9.6,108.5
1436,45,1.6,9.6,112.3
1437,42,1.4,10.2,108.7
1438,44,1.5,9.8,110.2
1439,48,1.3,9.2,108.3
1440,52,1.5,10,111.9
1441,48,1.4,9.7,110.7
1442,40,1.4,10.3,110
1443,45,1.4,9.2,111.6
1444,53,1.5,9.3,112.3
1445,45,1.4,9.3,113.1
1446,41,1.6,9,115.1
1447,47,1.6,10.3,111.9
1448,44,1.4,9.5,107.5
1449,44,1.5,10.1,113.3
1450,47,1.6,9.2,118.3
1451,44,1.5,10.5,111.4
1452,43,1.5,10.1,108
1453,32,1.6,9.2,108.2
1454,34,1.6,9.3,108.2
1455,45,1.5,8.8,109.1
1456,44,1.6,9.1,115.3
1457,46,1.4,9.8,111.4
1458,48,1.3,9.4,119.7
1459,42,1.5,8.9,111.2
1460,45,1.4,9.6,111.6
1461,44,1.5,9.3,113
1462,49,1.4,9.1,117.1
1463,47,1.5,10,115.7
1464,40,1.6,8.7,116.7
1465,43,1.6,8.8,117.4
1466,45,1.4,9.4,114.7
1467,47,1.4,9.1,113.3
1468,43,1.6,9.4,108
1469,50,1.6,9,108.7
1470,49,1.4,9.3,112.6
1471,50,1.6,9.8,110.8
1472,52,1.5,9.1,110.6
1473,50,1.5,9.5,108.5
1474,50,1.4,10,110.8
1475,40,1.6,8.7,114.8
1476,49,1.5,9.2,114.4
1477,42,1.6,9.7,117.7
1478,40,1.5,8.8,108.7
1479,46,1.5,10,111.3
1480,34,1.5,9.3,108.7
1481,36,1.4,10.3,116.1
1482,38,1.6,9.3,112.4
1483,45,1.5,9.4,112.9
1484,46,1.4,9.6,107.6
1485,46,1.5,9.3,113.3
1486,49,1.6,9.6,113
1487,45,1.6,9.8,114.4
1488,40,1.5,9.6,119.1
1489,52,1.5,9,116.9
1490,49,1.4,9.8,112.6
1491,51,1.5,9.3,112.4
1492,52,1.4,9.1,110.3
1493,50,1.4,10,110.9
1494,44,1.5,10.1,111.8
1495,41,1.5,9.9,120.3
1496,47,1.5,8.9,112.7
1497,47,1.5,9.2,112.2
1498,47,1.5,10.2,117.4
1499,41,1.5,9.7,106.1
1500,49,1.5,9.4,111.1
1501,46,1.5,10.1,107.3
1502,45,1.4,8.7,113.6
1503,46,1.6,9.3,114.5
1504,35,1.6,9.5,116.5
1505,42,1.4,9.6,110
1506,48,1.4,9.2,108.7
1507,47,1.6,9.6,114.1
1508,40,1.5,9.8,113.1
1509,46,1.5,9,106.5
1510,51,1.6,9.1,108.8
1511,48,1.5,9.3,112.5
1512,47,1.5,10,114.1
1513,37,1.4,8.9,111
1514,45,1.4,9.7,116.5
1515,47,1.5,9.9,104.2
1516,46,1.5,9.8,115.1
1517,38,1.6,9.9,107.9
1518,46,1.4,9.4,108.1
1519,49,1.4,10,115.4
1520,46,1.5,9.3,112.1
1521,43,1.4,10.2,115.4
1522,39,1.4,9.6,110.3
1523,48,1.4,10.1,112.7
1524,47,1.4,9.8,108.8
1525,47,1.6,9.5,114.4
1526,48,1.6,9.3,106.8
1527,45,1.5,9.2,114.7
1528,47,1.5,8.8,113.8
1529,48,1.5,9.7,111.9
1530,51,1.5,9.4,116.9
1531,50,1.4,9.6,113.5
1532,51,1.6,9.4,113.5
1533,49,1.6,9.9,111.1
1534,47,1.6,9.5,105.5
1535,49,1.6,10.1,111.9
1536,44,1.4,10,111.9
1537,40,1.5,8.9,108.7
1538,40,1.5,9.2,108.7
1539,38,1.4,10,112
1540,46,1.5,9.6,110.3
1541,48,1.4,9.7,111.2
1542,47,1.6,9.3,114.7
1543,49,1.4,10,113.7
1544,49,1.5,9.9,108.2
1545,46,1.6,9.2,109.7
1546,49,1.5,9.8,110.8
1547,44,1.6,9.1,111.1
1548,47,1.5,9.3,112.6
1549,48,1.6,9.1,112.9
1550,42,1.6,9,105.4
1551,49,1.4,10,107.9
1552,41,1.6,10.1,113.9
1553,48,1.5,9.6,110.9
1554,39,1.5,10.2,114
1555,42,1.6,9.9,110.8
1556,43,1.5,9.1,118.2
1557,47,1.4,9.4,110.8
1558,43,1.5,9.2,116
1559,47,1.4,10,110.3
1560,44,1.6,9.5,114.1
1561,49,1.5,9.6,115.3
1562,46,1.6,9.7,110.8
1563,50,1.6,10.1,116.7
1564,45,1.4,9.6,110.1
1565,43,1.5,9.4,108.6
1566,42,1.6,9.4,109.7
1567,47,1.5,10,112.1
1568,41,1.4,9.5,105.2
1569,51,1.5,9.3,114.6
1570,47,1.5,9,106.1
1571,46,1.5,10,110
1572,40,1.7,10.4,106.6
1573,42,1.5,9.6,111
1574,45,1.5,9.6,108.9
1575,48,1.5,9.6,110.5
1576,50,1.6,8.7,116.5
1577,48,1.4,9.7,111.5
1578,45,1.6,9.4,111.3
1579,47,1.4,9.2,110.1
1580,47,1.5,9.7,110.6
1581,44,1.4,9.5,116.2
1582,44,1.4,9.6,112.5
1583,47,1.5,9.7,107.8
1584,47,1.5,10.2,112.4
1585,42,1.4,9.5,112.4
1586,41,1.6,8.7,110
1587,38,1.4,9.4,112
1588,42,1.5,9.5,114.5
1589,47,1.6,9.4,111.9
1590,42,1.5,9.5,116.5
1591,46,1.5,9.9,114.2
1592,42,1.5,9.4,115.2
1593,46,1.4,9,116.4
1594,51,1.5,9.5,113.1
1595,47,1.5,9.8,115.3
1596,39,1.5,9.6,116.7
1597,48,1.4,9.6,106.1
1598,49,1.5,9.3,115
1599,51,1.4,9.5,113.9
1600,49,1.4,8.7,111.3
1601,49,1.4,9.5,110.5
1602,49,1.5,10.2,109.1
1603,37,1.6,8.5,109.1
1604,45,1.6,9.3,112.6
1605,47,1.6,9.8,112.2
1606,49,1.5,9,109.5
1607,48,1.4,9.4,114.7
1608,51,1.6,9.9,106.9
1609,48,1.6,9.4,112.1
1610,45,1.5,9.9,109.2
1611,38,1.4,10.2,112.6
1612,50,1.4,9.3,117.9
1613,49,1.4,9.1,113.2
1614,47,1.5,9.1,116
1615,42,1.5,9.7,109.7
1616,38,1.5,9.7,106.6
1617,47,1.5,9.6,109.1
1618,40,1.3,9.2,113.8
1619,50,1.5,10.1,104.7
1620,46,1.5,9.3,113
1621,46,1.5,10,115.2
1622,43,1.5,9.4,108.2
1623,41,1.5,10,110.3
1624,39,1.7,10,107.9
1625,43,1.4,8.7,113.5
1626,46,1.5,9.9,111.3
1627,35,1.4,9.1,119.2
1628,51,1.5,9.8,112.7
1629,44,1.5,9.6,115.4
1630,48,1.5,9.6,109.9
1631,47,1.6,9.1,110.9
1632,44,1.6,9.4,112.6
1633,47,1.4,10,108.9
1634,48,1.4,9.5,112.9
1635,50,1.6,10.2,115.5
1636,41,1.5,9.9,112.3
1637,37,1.4,9.6,113.7
1638,43,1.4,10.1,106.7
1639,47,1.4,10.1,109.6
1640,46,1.5,8.7,108.1
1641,47,1.6,8.1,113
1642,49,1.6,8.9,113.3
1643,45,1.5,9.5,110.5
1644,41,1.5,9.8,107.2
1645,44,1.5,10.1,110.7
1646,46,1.5,9.3,116.7
1647,47,1.3,9.4,115.1
1648,45,1.6,9.3,110.2
1649,49,1.4,10,112.7
1650,45,1.4,9.3,114.8
1651,46,1.5,9.7,110.1
1652,47,1.5,9.3,110.3
1653,43,1.6,9.1,106.4
1654,48,1.5,8.9,114
1655,48,1.4,9.2,111.4
1656,42,1.5,9.3,113
1657,46,1.5,9.3,114.6
1658,49,1.5,9.4,110.9
1659,48,1.6,10.6,118.6
1660,52,1.5,9.1,106.8
1661,50,1.5,9.4,112.1
1662,50,1.6,9.7,114
1663,48,1.5,9.9,114.5
1664,48,1.4,9.7,111.9
1665,43,1.6,9.6,111.3
1666,45,1.4,9,115.9
1667,48,1.5,9.5,111.4
1668,43,1.5,9.3,108.9
1669,41,1.6,9.8,117.7
1670,46,1.6,9.5,110
1671,44,1.6,9,110.9
1672,38,1.4,10.1,103.6
1673,46,1.5,9,109.3
1674,44,1.5,10.2,109.5
1675,46,1.4,9.4,108.9
1676,43,1.5,9,113.3
1677,46,1.5,9.5,117
1678,46,1.5,9.6,108.7
1679,44,1.5,8.5,118.3
1680,46,1.5,9.5,108.7
1681,46,1.5,10.3,113
1682,52,1.4,9.6,110.6
1683,47,1.5,8.9,107
1684,49,1.5,9.7,112.3
1685,46,1.6,10,117.6
1686,50,1.6,9.8,109.8
1687,43,1.5,9,112.9
1688,50,1.5,10.2,108.9
1689,43,1.7,10,116.4
1690,39,1.7,9.3,108
1691,49,1.4,9.8,113.6
1692,51,1.4,9.1,109.8
1693,51,1.6,9.9,115.3
1694,47,1.5,9.2,119.5
1695,49,1.5,9.3,115.1
1696,45,1.5,9.2,108.8
1697,44,1.5,10.1,109.8
1698,43,1.5,9.7,112.4
1699,49,1.6,9.4,115.6
1700,48,1.5,9.7,110.6
1701,47,1.4,9.2,116.4
1702,43,1.7,9.3,115.6
1703,39,1.6,9.9,116
1704,50,1.5,9.7,109.1
1705,42,1.4,9.2,114.8
1706,46,1.3,9.1,112.1
1707,51,1.5,9.4,111
1708,45,1.5,8.9,112
1709,49,1.5,9.5,117.4
1710,50,1.4,9.6,112.4
1711,47,1.5,9.8,114.3
1712,45,1.5,10.1,109.9
1713,44,1.5,9.3,113.1
1714,50,1.6,9.5,121.4
1715,51,1.6,9.7,119.3
1716,50,1.6,9.5,118.2
1717,50,1.5,9.7,113.7
1718,48,1.4,9.4,114.4
1719,49,1.5,9.4,109.1
1720,50,1.4,10,112.4
1721,48,1.6,9.6,112.7
1722,47,1.6,9.9,110
1723,39,1.6,9.6,112.5
1724,43,1.5,8.9,107
1725,40,1.5,9.5,106.3
1726,46,1.4,10,117.4
1727,50,1.5,9.1,115.9
1728,47,1.4,9.3,112.8
1729,49,1.6,9.4,110.9
1730,45,1.6,9.9,111
1731,45,1.5,9.3,107
1732,37,1.5,9.6,109.8
1733,45,1.5,9.8,108
1734,38,1.6,9.5,111.9
1735,43,1.4,9.1,107.4
1736,48,1.5,10,116.1
